Economic_activity,Year,Quarter,Value_mln_eur
"Agriculture, forestry and fishing",2021,1st-4th quarters,635.4
"Crop and animal production, hunting",2021,1st-4th quarters,309.7
Forestry and logging,2021,1st-4th quarters,298.6
Mining and quarrying,2021,1st-4th quarters,206.9
Manufacturing,2021,1st-4th quarters,3999.4
"Electricity, gas, steam and air conditioning supply",2021,1st-4th quarters,855.3
"Water supply; sewerage, waste
management and remediation activities",2021,1st-4th quarters,358.4
Construction,2021,1st-4th quarters,1845.8
"Wholesale and retail trade;
repair of motor vehicles and motorcycles",2021,1st-4th quarters,3310.4
Transportation and storage,2021,1st-4th quarters,1772.9
Accommodation and food service activities,2021,1st-4th quarters,341.3
Information and communication,2021,1st-4th quarters,2331.3
Financial and insurance activities,2021,1st-4th quarters,1268.7
Real estate activities,2021,1st-4th quarters,2802.8
"Professional, scientific and technical activities",2021,1st-4th quarters,1761.7
Administrative and support service activities,2021,1st-4th quarters,1012.2
"Public administration and defence;
compulsory social security",2021,1st-4th quarters,1667
Education,2021,1st-4th quarters,1322.6
Human health and social work activities,2021,1st-4th quarters,1394.6
"Arts, entertainment and recreation",2021,1st-4th quarters,416.1
Other service activities,2021,1st-4th quarters,247.9
